,Filename,Filename_acid,Filename_base,STDBWDistance,BWDistance,Distance3,Energy3,Distance4,Energy4,Distance5,Energy5,Distance6,Energy6,Fraction_vsburied_volume_acid,Fraction_vsburied_volume_base,Fraction_sburied_volume_acid,Fraction_sburied_volume_base,Fraction_mburied_volume_acid,Fraction_mburied_volume_base,Fraction_lburied_volume_acid,Fraction_lburied_volume_base,Frustrated
0,10_1_opt.xyz,10_opt.xyz,1_opt.xyz,0.23202208939021124,1.6074147262141907,1.6072430840658083,-112.56571267391,1.6070538836708363,-112.56570218936,1.607951648121701,-112.56569235198,4.075969419726759,-112.51806814519,0.9833419421487604,0.0,0.9798639145722099,0.0,0.9742532032181168,0.0,0.9466606876630638,0.0,0
1,10_22_opt.xyz,10_opt.xyz,22_opt.xyz,1.7523750784575514,4.136154938122912,1.7993178183693592,-134.09273426286,1.7305907402377485,-134.06994575677,3.376730652367605,-134.08778175592,4.220902882746739,-134.09804302403,0.9833419421487604,0.9208096590909091,0.9798639145722099,0.8531872639666623,0.9742532032181168,0.7201560637663885,0.9466606876630638,0.568358647036899,1
2,10_23_opt.xyz,10_opt.xyz,23_opt.xyz,1.2386751368875655,4.279060267476746,1.772318011684145,-143.56921368344,1.7578137457551026,-143.57636916893,4.144436955395833,-143.60408667037,4.33762935947958,-143.60541298443,0.9833419421487604,0.9473463326446281,0.9798639145722099,0.9021356947519208,0.9742532032181168,0.7865576579261025,0.9466606876630638,0.6528780749161387,1
3,10_24_opt.xyz,10_opt.xyz,24_opt.xyz,1.0494805581986597,3.9911722086286066,1.8100523640688733,-153.0904905252,1.819022003167396,-153.09401422129,3.84242374162081,-153.11116990225,4.090215427415659,-153.11181856657,0.9833419421487604,0.9499612603305785,0.9798639145722099,0.918511524938143,0.9742532032181168,0.841030989272944,0.9466606876630638,0.7388767238166232,1
4,10_25_opt.xyz,10_opt.xyz,25_opt.xyz,1.0838186759608444,4.39437387249119,1.7868914695177989,-122.01545415163,1.8173511076383535,-122.00948355373,4.443711059035354,-122.02088498516,4.434607685807658,-122.02083584382,0.9833419421487604,0.9236505681818182,0.9798639145722099,0.8233331162911838,0.9742532032181168,0.652096990464839,0.9466606876630638,0.4512497670518077,1
5,10_26_opt.xyz,10_opt.xyz,26_opt.xyz,1.2690135295992122,4.89446696776837,1.877102258342616,-131.47427513228,4.881270027637155,-131.51494319072,5.075798647429207,-131.5098438925,4.905481226937815,-131.51392236771,0.9833419421487604,0.9578060433884298,0.9798639145722099,0.9019891913009507,0.9742532032181168,0.7822184147794994,0.9466606876630638,0.6264326313827805,1
6,10_27_opt.xyz,10_opt.xyz,27_opt.xyz,2.6815304803335613,6.220435538130006,1.8814479599152585,-140.90449354811,6.223960639692812,-141.01431944939,5.297443211832974,-141.00405544224,5.33798167774524,-141.00465659441,0.9833419421487604,0.9805010330578512,0.9798639145722099,0.9515887485349654,0.9742532032181168,0.884423420738975,0.9466606876630638,0.7786235091315692,1
7,10_28_opt.xyz,10_opt.xyz,28_opt.xyz,0.9603132385945051,5.759739541487104,5.8016286836306445,-150.45846012071,5.831964933247949,-150.45653691499,5.947499685240274,-150.45465042484,5.65658859342202,-150.45806874062,0.9833419421487604,0.9816632231404959,0.9798639145722099,0.9653275166037244,0.9742532032181168,0.9400048420738975,0.9466606876630638,0.8882256336190831,1
8,10_29_opt.xyz,10_opt.xyz,29_opt.xyz,0.3870541618147201,1.6489668728560798,1.6431203209623653,-127.3564925724,1.6498481053446246,-127.36070813304,1.648546654346452,-127.36087380368,3.751417092457328,-127.33214021315,0.9833419421487604,0.7634297520661157,0.9798639145722099,0.6488312280244823,0.9742532032181168,0.5380661501787842,0.9466606876630638,0.42819954342154304,0
9,10_30_opt.xyz,10_opt.xyz,30_opt.xyz,0.23781511161803823,1.6476289759529112,1.6482604847438986,-127.62344574372,1.6471764221945122,-127.62344635342,1.6474504367163878,-127.6234494259,3.828968056471905,-127.59736625847,0.9833419421487604,0.7592652376033058,0.9798639145722099,0.646747623388462,0.9742532032181168,0.534388036352801,0.9466606876630638,0.4230979780096906,0
